Address,Cost,Property Type,Bedrooms,Bathrooms,Latitude,Longitude,Closest Gov Secondary School,Gov Secondary Distance,Age under 20,Age 20-39,Age 40-59,Age 60+,Postcode
"1/15 Jackson Street, St Kilda VIC 3182",$340 Per Week,Apartment,1,1,-37.86222180000001,144.9753659,Elwood College,2.3 km away,12%,40%,34%,13%,3182
"8/17 Burnett Street, St Kilda VIC 3182",$450 pw,Apartment,1,1,-37.8609359,144.9807414,Elwood College,2.4 km away,12%,47%,27%,14%,3182
"28/12 Clyde Street, St Kilda VIC 3182",$460 pw,Apartment,1,1,-37.8656132,144.9781941,Elwood College,1.9 km away,11%,34%,26%,29%,3182
"309/109 Inkerman Street, St Kilda VIC 3182",$440 pw,Apartment,1,1,-37.8648341,144.9865573,Elwood College,1.9 km away,8%,64%,24%,4%,3182
"3/51 Chapel Street, St Kilda VIC 3182",$600 Fully Furnished pw,Apartment,1,1,-37.8626368,144.9911667,Elwood College,2.2 km away,15%,47%,33%,5%,3182
"903/6 St Kilda Road, St Kilda VIC 3182",$500 per week,Apartment,1,1,-37.8566068,144.9834454,,,11%,54%,28%,7%,3182
"420/163 Fitzroy street, St Kilda VIC 3182",$515,Apartment,1,1,-37.8586706,144.9797411,Elwood College,2.6 km away,11%,51%,33%,4%,3182
"1/2 Emilton Avenue, St Kilda VIC 3182",$450.00,Apartment,1,1,-37.86217800000001,144.9816878,Elwood College,2.2 km away,11%,48%,29%,12%,3182
"719/65 Acland Street, St Kilda VIC 3182",$380 per week,Apartment,1,1,-37.8663838,144.9773998,Elwood College,1.8 km away,9%,43%,29%,20%,3182
"7/39 Eildon Rd, St Kilda VIC 3182",$590 weekly,Apartment,1,1,-37.8613521,144.9781909,Elwood College,2.4 km away,12%,40%,34%,13%,3182
"7/22 Crimea Street, St Kilda VIC 3182",$365 per week,Apartment,1,1,-37.8591641,144.9882826,,,14%,51%,24%,11%,3182
"21/225 Canterbury Road, St Kilda West VIC 3182",$420.00,Apartment,1,1,-37.8577597,144.9747492,Albert Park College,2.8 km away,22%,30%,31%,16%,3182
"8/35 Carlisle Street, St Kilda VIC 3182",$430.00,Apartment,1,1,-37.8673851,144.9816112,Elwood College,1.6 km away,18%,40%,28%,14%,3182
"113/12-18 Martin Street, St Kilda VIC 3182",$420 pw,Apartment,1,1,-37.8668072,144.9879695,Elwood College,1.7 km away,14%,49%,29%,7%,3182
"23/82 Westbury Street, St Kilda VIC 3182",$380.00,Apartment,1,1,-37.864,144.982,Elwood College,2 km away,13%,47%,32%,9%,3182
"7/1 Fiona Court, St Kilda VIC 3182",$445 per week,Apartment,1,1,-37.8636679,144.9885892,Elwood College,2.1 km away,12%,48%,27%,12%,3182
"202/154 Chapel Street, St Kilda VIC 3182",Stay from 1 month - $910pw,Apartment,1,1,-37.8702451,144.9902099,Elwood College,1.4 km away,16%,44%,30%,10%,3182
"1/14 Fitzroy Street, St Kilda VIC 3182",$450,Apartment,1,1,-37.861271,144.9742937,Albert Park College,3 km away,11%,41%,35%,12%,3182
"606/3-5 St Kilda Road, St Kilda VIC 3182",$505 per week,Apartment,1,1,-37.8589053,144.9833327,,,10%,59%,25%,5%,3182
"10/117 Park Street, St Kilda West VIC 3182",$450.00 per week,Apartment,1,1,-37.8558581,144.9674027,Albert Park College,2.2 km away,17%,30%,34%,19%,3182
"C211/3 Greeves Street, St Kilda VIC 3182",$500,Apartment,2,1,-37.8644018,144.9828562,Elwood College,2 km away,10%,52%,27%,11%,3182
"2/22 The Esplanade, St Kilda VIC 3182",$690.00,Apartment,2,1,-37.866204,144.9757919,Elwood College,1.9 km away,9%,43%,29%,20%,3182
"7/104 Barkly Street, St Kilda VIC 3182",$850 pw,Apartment,2,2,-37.8647062,144.9818682,Elwood College,1.9 km away,10%,52%,27%,11%,3182
"615/181 Fitzroy Street, St Kilda VIC 3182",$700.00,Apartment,2,2,-37.8577313,144.9813285,,,10%,59%,25%,5%,3182
"4/2 Eildon Court, St Kilda VIC 3182",$595.00,Apartment,2,1,-37.8619525,144.9769766,Elwood College,2.3 km away,12%,40%,34%,13%,3182
"12/174 Barkly Street, St Kilda VIC 3182",$460.00 per week,Apartment,2,1,-37.8680654,144.9814847,Elwood College,1.6 km away,18%,40%,28%,14%,3182
"4/22-24 Pakington Street, St Kilda VIC 3182",$695 pw,Apartment,2,2,-37.86578069999999,144.9878146,Elwood College,1.8 km away,8%,64%,24%,4%,3182
"67/1a St Kilda Road, St Kilda VIC 3182",$620 Per Week,Apartment,2,1,-37.8577127,144.9826156,,,10%,59%,25%,5%,3182
"3/45 Chapel St, St Kilda VIC 3182",$550 weekly,Apartment,2,1,-37.862176,144.9910998,Elwood College,2.3 km away,15%,47%,33%,5%,3182
"4/11-15 Fitzroy Street, St Kilda VIC 3182",$600 pw,Apartment,2,1,-37.8595258,144.9779258,Elwood College,2.6 km away,11%,51%,33%,4%,3182
"1/9 Foster Street, St Kilda VIC 3182",$560 pw,Apartment,2,1,-37.8681776,144.9822441,Elwood College,1.5 km away,18%,40%,28%,14%,3182
"504/163 Fitzroy Street, St Kilda VIC 3182",$850.00,Apartment,2,1,-37.8586706,144.9797411,Elwood College,2.6 km away,11%,51%,33%,4%,3182
"7/30 Blessington St, St Kilda VIC 3182",$575 weekly,Apartment,2,1,-37.869877,144.9815431,Elwood College,1.4 km away,18%,40%,28%,14%,3182
"7/25 Queens Road, St Kilda VIC 3182",$700 per week,Apartment,2,2,-37.8544109,144.9801304,,,14%,48%,30%,8%,3182
"204/154 Chapel Street, St Kilda VIC 3182",Stay from 1 month - $1302pw,Apartment,2,1,-37.8702722,144.9902704,Elwood College,1.4 km away,16%,44%,30%,10%,3182
"101/154 Chapel Street, St Kilda VIC 3182",Stay from 1 month - $1162pw,Apartment,2,2,-37.8702722,144.9902704,Elwood College,1.4 km away,16%,44%,30%,10%,3182
"11/193-195 Inkerman Street, St Kilda VIC 3182",$550.00,Apartment,2,1,-37.8653388,144.9899789,Elwood College,1.9 km away,8%,64%,24%,4%,3182
"1/27-29 Dalgety Street, St Kilda VIC 3182",$500 per week,Apartment,2,1,-37.859952,144.980413,Elwood College,2.5 km away,18%,40%,32%,10%,3182
"2/26 Robe Street, St Kilda VIC 3182",$580.00 per week,Apartment,2,1,-37.8639841,144.9789157,Elwood College,2.1 km away,16%,42%,28%,14%,3182
"204/181 Fitzroy St, St Kilda VIC 3182",$760 weekly,Apartment,2,2,-37.8577313,144.9813285,,,10%,59%,25%,5%,3182
"42G Marine Parade, St Kilda VIC 3182","$1,095 per week",Apartment,3,1,-37.8753975,144.9750931,Elwood College,1.1 km away,,,,,3182
"7/83 Park Street, St Kilda West VIC 3182",$795.00,Apartment,3,1,-37.8566406,144.968926,Albert Park College,2.3 km away,17%,30%,34%,19%,3182
"2A Robe Street, St Kilda VIC 3182","$1,085 per week",Apartment,3,1,-37.8657058,144.9758542,Elwood College,2 km away,9%,43%,29%,20%,3182
"103/219 Barkly Street, St Kilda VIC 3182",$925 per week,Apartment,3,2,-37.8700828,144.9804776,Elwood College,1.4 km away,7%,58%,25%,9%,3182
"401/126 Chapel Street, St Kilda VIC 3182","$1,200 pw",Apartment,3,3,-37.8690955,144.9904281,Elwood College,1.5 km away,16%,44%,30%,10%,3182
"3210/14-16 The Esplanade, St Kilda VIC 3182","$1,950",Apartment,3,2,-37.8652646,144.9747513,Elwood College,2 km away,9%,43%,29%,20%,3182
"3203/14-16 The Esplanade, St Kilda VIC 3182","$2,500",Apartment,3,2,-37.8652646,144.9747513,Elwood College,2 km away,9%,43%,29%,20%,3182
"14/21 Marine Parade, St Kilda VIC 3182","$1,250.00",Apartment,3,2,-37.8710985,144.9765799,Elwood College,1.4 km away,14%,37%,32%,18%,3182
"5/19 Herbert Street, St Kilda VIC 3182",$995 per week,Apartment,3,1,-37.871732,144.9828713,Elwood College,1.1 km away,14%,45%,31%,11%,3182
"22/8 The Esplanade, St Kilda VIC 3182",$950.00,Apartment,3,2,-37.8636124,144.9729247,Elwood College,2.3 km away,12%,31%,34%,23%,3182
"21 Foster Street, St Kilda VIC 3182",$825.00,House,2,2,-37.868741,144.9826565,Elwood College,1.5 km away,18%,40%,28%,14%,3182
"2/50 Waterloo Crescent, St Kilda VIC 3182",$940 per week,House,2,1,-37.8623768,144.9828069,Elwood College,2.2 km away,13%,47%,32%,9%,3182
"23 Mitchell Street, St Kilda VIC 3182","$1,050 per week",House,3,1,-37.8679269,144.9849969,Elwood College,1.6 km away,22%,31%,31%,16%,3182
"45 Smith Street, St Kilda VIC 3182",$690 per week,House,3,1,-37.8684137,144.9839073,Elwood College,1.5 km away,22%,31%,31%,16%,3182
"76 Chapel Street, St Kilda VIC 3182",$800 pw,House,3,1,-37.8670584,144.9909606,Elwood College,1.8 km away,18%,49%,25%,9%,3182
"9 Longmore Street, St Kilda West VIC 3182","$1,700.00",House,4,2,-37.8547452,144.9697247,Albert Park College,2.3 km away,29%,25%,29%,17%,3182
"1 Loch Street, St Kilda West VIC 3182","$1,600",House,4,2,-37.8601477,144.9750883,Albert Park College,3 km away,16%,40%,26%,17%,3182
"30 Odessa Street, St Kilda VIC 3182",$1225.00 per week,House,4,2,-37.8628567,144.9886863,Elwood College,2.2 km away,15%,47%,33%,5%,3182
"6 Crimea Street, St Kilda VIC 3182","$2,400.00",House,4,2,-37.85799919999999,144.9886295,,,16%,42%,27%,15%,3182
"804/7 Evergreen Mews, Armadale VIC 3143",$550 per week,Apartment,1,1,-37.8512311,145.0134231,Auburn High School,3.1 km away,25%,30%,29%,15%,3143
"7/52 Sutherland Road, Armadale VIC 3143",$415 per week,Apartment,1,1,-37.857791,145.0173159,Auburn High School,3.2 km away,14%,37%,26%,23%,3143
"8/51 Kooyong Road, Armadale VIC 3143",$375 per week,Apartment,1,1,-37.8587356,145.019916,Auburn High School,3.1 km away,16%,46%,27%,12%,3143
"1/54 Sutherland Road, Armadale VIC 3143",$430 per week,Apartment,1,1,-37.8576467,145.0173312,Auburn High School,3.2 km away,14%,37%,26%,23%,3143
"4/8 Bailey Avenue, Armadale VIC 3143",$350 per week,Apartment,1,1,-37.8627021,145.0243337,Glen Eira College,2.8 km away,16%,34%,26%,24%,3143
"7/860 High Street, Armadale VIC 3143",$410 per week,Apartment,1,1,-37.855111,145.0164435,Auburn High School,3.1 km away,17%,35%,24%,23%,3143
"101/7 Evergreen Mews, Armadale VIC 3143",$725 pw,Apartment,2,2,-37.8512311,145.0134231,Auburn High School,3.1 km away,25%,30%,29%,15%,3143
"1/56 Sutherland Rd, Armadale VIC 3143",$680 weekly,Apartment,2,1,-37.8574873,145.0173645,Auburn High School,3.2 km away,14%,37%,26%,23%,3143
"5/94 Wattletree Rd, Armadale VIC 3143",$650 weekly,Apartment,2,1,-37.8622937,145.026588,Glen Eira College,2.8 km away,24%,29%,28%,19%,3143
"9/581 Orrong Road, Armadale VIC 3143",$650.00,Apartment,2,1,-37.8531155,145.0115359,,,13%,50%,26%,12%,3143
"8/10 Valentine Grove, Armadale VIC 3143",$650 per week,Apartment,2,1,-37.8634661,145.0252333,Glen Eira College,2.7 km away,16%,34%,26%,24%,3143
"602/3 Evergreen Mews, Armadale VIC 3143",$800 Per Week,Apartment,2,2,-37.8515766,145.0126477,Auburn High School,3.2 km away,25%,30%,29%,15%,3143
"16/19 Mercer Road, Armadale VIC 3143",$625 pw,Apartment,2,1,-37.8542988,145.0261829,Auburn High School,2.3 km away,19%,23%,23%,35%,3143
"703/8A Evergreen Mews, Armadale VIC 3143",$800 per week,Apartment,2,2,-37.8514591,145.0137627,Auburn High School,3.1 km away,25%,30%,29%,15%,3143
"6/6 Denbigh Road, Armadale VIC 3143",$750 Per Week,Apartment,2,2,-37.859793,145.015563,Auburn High School,3.4 km away,14%,37%,17%,31%,3143
"4/50 Sutherland Road, Armadale VIC 3143",$500 per week,Apartment,2,1,-37.8579257,145.0172889,Auburn High School,3.2 km away,14%,37%,26%,23%,3143
"103/511 Dandenong Road, Armadale VIC 3143",$675,Apartment,2,1,-37.8626155,145.0202787,Glen Eira College,3 km away,19%,41%,25%,16%,3143
"9/844 Malvern Road, Armadale VIC 3143",$550,Apartment,2,1,-37.8502676,145.018506,Auburn High School,2.6 km away,23%,30%,24%,24%,3143
"6/18 Denbigh Road, Armadale VIC 3143",$500 per week,Apartment,2,1,-37.8591601,145.0156651,Auburn High School,3.4 km away,14%,37%,17%,31%,3143
"6/26 Armadale Street, Armadale VIC 3143",$650,Apartment,2,1,-37.85925570000001,145.018708,Auburn High School,3.2 km away,16%,46%,27%,12%,3143
"103/6A Evergreen Mews, Armadale VIC 3143",$790,Apartment,2,2,-37.8518143,145.0133926,Auburn High School,3.1 km away,25%,30%,29%,15%,3143
"3/9 Barnato Grove, Armadale VIC 3143",$460.00,Apartment,2,1,-37.85711120000001,145.0128903,Auburn High School,3.5 km away,21%,29%,28%,22%,3143
"101/8B Evergreen Mews, Armadale VIC 3143",$750 Per Week,Apartment,2,2,-37.8516796,145.013843,Auburn High School,3.1 km away,25%,30%,29%,15%,3143
"104/8B Evergreen Mews, Armadale VIC 3143",$720 weekly,Apartment,2,2,-37.8516796,145.013843,Auburn High School,3.1 km away,25%,30%,29%,15%,3143
Armadale VIC 3143,Fine Furnished Residences @ Westprecinct,Apartment,2,2,-37.857253,145.0190242,Auburn High School,3 km away,16%,46%,27%,12%,3143
"305/7 Evergreen Mews, Armadale VIC 3143",$1200 per week,Apartment,3,2,-37.8512311,145.0134231,Auburn High School,3.1 km away,25%,30%,29%,15%,3143
"571 Dandenong Road, Armadale VIC 3143",$845 per week,Apartment,3,1,-37.8642037,145.0241326,Glen Eira College,2.7 km away,16%,34%,26%,24%,3143
"11 New Street, Armadale VIC 3143",$925.00,House,2,1,-37.8539124,145.0149022,Auburn High School,3.1 km away,25%,30%,29%,15%,3143
"6 Beatty Ave, Armadale VIC 3143",$825.00,House,2,1,-37.851443,145.015047,Auburn High School,3 km away,24%,20%,26%,29%,3143
"8 Stuart Street, Armadale VIC 3143",$775.00,House,2,1,-37.8583838,145.0245305,Auburn High School,2.8 km away,28%,26%,26%,21%,3143
"9 Cambridge St, Armadale VIC 3143",$750.00,House,2,1,-37.8593518,145.0173627,Auburn High School,3.3 km away,14%,37%,26%,23%,3143
"11 Hume Street, Armadale VIC 3143",$800.00,House,3,2,-37.8569226,145.0213117,Auburn High School,2.9 km away,24%,24%,27%,24%,3143
"785 High Street, Armadale VIC 3143",$750 per week,House,3,1,-37.8543886,145.0139801,Auburn High School,3.2 km away,25%,30%,29%,15%,3143
Armadale VIC 3143,"$1,555 per week",House,3,1,-37.8554995,145.0206967,Auburn High School,2.8 km away,22%,22%,26%,29%,3143
"3/511-513 Orrong Road, Armadale VIC 3143",$650 per week,House,3,1,-37.8585629,145.0105523,,,15%,44%,25%,16%,3143
"7 Osment Street, Armadale VIC 3143",$770.00 per week,House,3,1,-37.8529656,145.0154726,Auburn High School,3 km away,25%,30%,29%,15%,3143
"795 High Street, Armadale VIC 3143",$820.00 per week,House,3,1,-37.85448,145.0146895,Auburn High School,3.2 km away,25%,30%,29%,15%,3143
"7 Auburn Grove, Armadale VIC 3143","$1,350per week",House,4,1,-37.8558298,145.0145412,Auburn High School,3.3 km away,17%,35%,24%,23%,3143
"14 Barnato Grove, Armadale VIC 3143","$1,595.00",House,4,2,-37.8573877,145.0121579,Auburn High School,3.5 km away,21%,29%,28%,22%,3143
"7/767 Nicholson Street, Carlton North VIC 3054",$500pw / $2173pcm,Apartment,1,1,-37.7812546,144.977654,Fitzroy High School,1 km away,21%,37%,22%,20%,3054
"14/912 Drummond Street, Carlton North VIC 3054",$380.00 per week,Apartment,1,1,-37.7828828,144.9717309,Princes Hill Secondary College,0.6 km away,19%,43%,24%,13%,3054
"12/1066 Lygon Street, Carlton North VIC 3054",$650.00,Apartment,2,1,-37.7809417,144.9705344,Princes Hill Secondary College,0.6 km away,16%,52%,22%,9%,3054
"2/545-549 Nicholson Street, Carlton North VIC 3054",$580pw / $2520pcm,Apartment,2,1,-37.7866617,144.9766719,Fitzroy High School,1 km away,15%,50%,23%,13%,3054
"9/1068 Lygon Street, Carlton North VIC 3054",$580.00,Apartment,2,1,-37.7809417,144.9705344,Princes Hill Secondary College,0.6 km away,16%,52%,22%,9%,3054
"30/1066 Lygon Street, Carlton North VIC 3054",$560.00 per week,Apartment,2,1,-37.7809417,144.9705344,Princes Hill Secondary College,0.6 km away,16%,52%,22%,9%,3054
"1405/570 Lygon Street, Carlton North VIC 3054",$550.00,Apartment,2,1,-37.7830707,144.9699457,Princes Hill Secondary College,0.4 km away,10%,48%,24%,18%,3054
"8/1068 Lygon Street, Carlton North VIC 3054",$730 pw,Apartment,3,2,-37.7809417,144.9705344,Princes Hill Secondary College,0.6 km away,16%,52%,22%,9%,3054
"26 Paterson Street, Princes Hill VIC 3054",$750 pw / $3259 pcm,House,2,1,-37.7828047,144.9689594,Princes Hill Secondary College,0.4 km away,16%,37%,24%,24%,3054
"184 Mcilwraith Street, Princes Hill VIC 3054",$925.00,House,2,1,-37.7804165,144.9690519,Princes Hill Secondary College,0.5 km away,24%,27%,25%,25%,3054
"449 Station Street, Carlton North VIC 3054",$680.00 per week,House,2,1,-37.785975,144.9756663,Princes Hill Secondary College,1 km away,21%,37%,22%,20%,3054
"904 Lygon Street, Carlton North VIC 3054",$795pw / $3454pcm,House,2,1,-37.7848136,144.9699818,Princes Hill Secondary College,0.5 km away,10%,48%,24%,18%,3054
"175 Amess Street, Carlton North VIC 3054",$800 pw,House,3,1,-37.7834856,144.9738746,Princes Hill Secondary College,0.8 km away,9%,41%,24%,26%,3054
"438 Canning Street, Carlton North VIC 3054","$1100pw, $4780pcm",House,3,1,-37.7867864,144.9750664,Princes Hill Secondary College,1 km away,15%,50%,23%,13%,3054
"1128/43 Therry Street, Carlton VIC 3053",$400,Apartment,1,1,-37.8071147,144.9598213,University High School,1.2 km away,4%,85%,8%,3%,3053
"807/6 Leicester Street, Carlton VIC 3053",$500 per week,Apartment,1,1,-37.806138,144.9602874,University High School,1.1 km away,2%,93%,5%,1%,3053
"602/518 Swanston Street, Carlton VIC 3053",$575 per week,Apartment,1,1,-37.8048042,144.9634754,University High School,1.1 km away,2%,92%,4%,1%,3053
"108/106-108 Queensberry Street, Carlton VIC 3053",$550 per week,Apartment,1,1,-37.8046015,144.9654545,University High School,1.2 km away,8%,72%,16%,5%,3053
"813/9 Earl Street, Carlton VIC 3053",$340 Per Week/ Furnished,Apartment,1,1,-37.8061615,144.965462,University High School,1.3 km away,3%,85%,9%,3%,3053
"2/34-50 Neill Street, Carlton VIC 3053",$450,Apartment,1,1,-37.7935251,144.9729797,Princes Hill Secondary College,1.3 km away,13%,54%,20%,13%,3053
"214/255 Cardigan Street, Carlton VIC 3053",$400.00 per week,Apartment,1,1,-37.8007275,144.9651642,University High School,0.9 km away,3%,78%,12%,6%,3053
"613/127 Leicester Street, Carlton VIC 3053",$395 per week,Apartment,1,1,-37.8028669,144.9602837,University High School,0.8 km away,7%,78%,12%,2%,3053
"502/50 Barry Street, Carlton VIC 3053",$925 per week,Apartment,1,1,-37.8029725,144.9600297,University High School,0.8 km away,7%,78%,12%,2%,3053
"30/34 Neill Street, Carlton VIC 3053",$400 Per Week,Apartment,1,1,-37.7935119,144.9729855,Princes Hill Secondary College,1.3 km away,13%,54%,20%,13%,3053
"4/157 Bouverie Street, Carlton VIC 3053",$520 per week,Apartment,1,1,-37.8028661,144.9617877,University High School,0.8 km away,2%,93%,4%,1%,3053
"G04/950 Swanston Street, Carlton VIC 3053",$430 Per Week,Apartment,1,1,-37.7938443,144.9653482,University High School,0.9 km away,8%,69%,14%,8%,3053
"4/203 Palmerston Street, Carlton VIC 3053",$400.00,Apartment,1,1,-37.7963219,144.968312,University High School,1.1 km away,9%,63%,19%,8%,3053
"508/50 Barry Street, Carlton VIC 3053",$395 per week,Apartment,1,1,-37.8029725,144.9600297,University High School,0.8 km away,7%,78%,12%,2%,3053
"102/108 Queensberry Street, Carlton VIC 3053",$550 per week,Apartment,1,1,-37.8046015,144.9654545,University High School,1.2 km away,8%,72%,16%,5%,3053
"619/528 Swanston Street, Carlton VIC 3053",$415 per week,Apartment,1,1,-37.8043194,144.9636086,University High School,1.1 km away,9%,74%,15%,2%,3053
"1306/551 Swanston Street, Carlton VIC 3053",$525,Apartment,1,1,-37.8057727,144.9628609,University High School,1.2 km away,2%,93%,5%,1%,3053
"806/518 Swanston Street, Carlton VIC 3053",$565 per week,Apartment,1,1,-37.8048042,144.9634754,University High School,1.1 km away,2%,92%,4%,1%,3053
"1306/28 Bouverie Street, Carlton VIC 3053",$535,Apartment,1,1,-37.8056339,144.9618379,University High School,1.1 km away,2%,93%,5%,1%,3053
"801/28 Bouverie Street, Carlton VIC 3053",$625 weekly,Apartment,1,1,-37.8056339,144.9618379,University High School,1.1 km away,2%,93%,5%,1%,3053
"2508/570 Lygon Street, Carlton VIC 3053",$575.00,Apartment,2,1,-37.7926806,144.9692131,Princes Hill Secondary College,1.1 km away,1%,91%,7%,1%,3053
"101C/640 Swanston Street, Carlton VIC 3053",$600.00,Apartment,2,1,-37.8015301,144.9646422,University High School,0.9 km away,2%,90%,6%,2%,3053
"602/123 Pelham Street, Carlton VIC 3053",$600.00 Per Week,Apartment,2,1,-37.8027957,144.964425,University High School,1 km away,3%,91%,5%,1%,3053
"709/488 Swanston Street, Carlton VIC 3053",$480 Per Week,Apartment,2,1,-37.8054922,144.9633658,University High School,1.2 km away,2%,92%,4%,1%,3053
"2619/551 Swanston Street, Carlton VIC 3053",$650 per week,Apartment,2,1,-37.8057727,144.9628609,University High School,1.2 km away,2%,93%,5%,1%,3053
"38/121 Rathdowne Street, Carlton VIC 3053",$600.00,Apartment,2,1,-37.8042272,144.9690866,University High School,1.4 km away,8%,57%,21%,14%,3053
"212/264 Drummond Street, Carlton VIC 3053",$630,Apartment,2,1,-37.7998041,144.9688662,University High School,1.2 km away,9%,57%,20%,14%,3053
"S1212/570 Lygon Street, Carlton VIC 3053",$450.00,Apartment,2,1,-37.7929565,144.9690521,Princes Hill Secondary College,1.1 km away,1%,91%,7%,1%,3053
"5/75 Drummond Street, Carlton VIC 3053",$700.00,Apartment,2,1,-37.8047911,144.9673359,University High School,1.3 km away,15%,60%,15%,11%,3053
"2518/555 Swanston Street, Carlton VIC 3053",$550 per week,Apartment,2,1,-37.8057745,144.9626168,University High School,1.1 km away,2%,93%,5%,1%,3053
"205/668 Swanston Street, Carlton VIC 3053",$630,Apartment,2,1,-37.80090939999999,144.9641566,University High School,0.9 km away,3%,78%,12%,6%,3053
"916/160 Victoria St, Carlton VIC 3053",$850 weekly,Apartment,2,2,-37.8061605,144.9619,University High School,1.2 km away,2%,93%,5%,1%,3053
